箱体报价表,,,,,,,
外型尺寸W*H*D,背板厚度,箱门厚度及层数,侧板厚度,表面处理,单价,备注（室内室外型、IP等级）,
131,微型断路器,iC65N-S D16A/3P,6,只,225.88,0.45,施耐德
132,微型断路器,iC65N-S D20A/3P,5,只,225.88,0.45,施耐德
133,微型断路器,iC65N-S D25A/3P,4,只,244.16,0.45,施耐德
134,微型断路器,iC65N-S D32A/3P,21,只,244.16,0.45,施耐德
135,微型断路器,iC65N-S D40A/3P,4,只,252.96,0.45,施耐德
136,微型断路器,iC65N-S D63A/3P,1,只,334.57,0.45,施耐德
137,火灾监控器,FS8201-100,58,只,150,1,赋安
138,火灾监控器,FS8202M/225F,12,只,220,1,赋安
139,火灾监控器,FS8202M/400F,4,只,260,1,赋安
140,火灾监控器,FS8202M/630F,1,只,350,1,赋安
141,消防电源,FS2613AVC,413,只,226,1,赋安
142,消防电源,FS2613AVC 带互感器,29,只,298,1,赋安
143,消防电源,FS2623AVC 带互感器,64,只,324,1,赋安
144,消防设备电源状态监控器主机,FS2600/252,4,只,4000,1,赋安
145,电气火灾监控主机,FS8300/300,4,,2615,1,赋安
146,后备,LMSCB-100KA/4P，T2,7,只,102,1,雷曼
147,后备,LMSCB-20KA/4P，T2,18,只,86,1,雷曼
148,后备,LMSCB-80KA/4P，T2,141,只,86,1,雷曼
149,后备,"LMSCB-I25KA/4P,T1",26,只,180,1,雷曼
150,浪涌保护器,"LMRD-B100/4P,T2,in50KA（8/20us）",5,只,222,1,雷曼
151,浪涌保护器,"LMRD-B100/4P,T2,in50KA（8/20us）通讯接口",2,只,498,1,雷曼
152,浪涌保护器,"LMRD-B160/4P,T2,in60KA（8/20us）",2,只,222,1,雷曼
153,浪涌保护器,"LMRD-B160/4P,T2,in60KA（8/20us）通讯接口",21,只,498,1,雷曼
154,浪涌保护器,"LMRD-B80/4P,T2,in40KA（8/20us）",23,只,72,1,雷曼
155,浪涌保护器,"LMRD-B80/4P,T2,in40KA（8/20us）通讯接口",72,只,420,1,雷曼
156,浪涌保护器,"LMRD-D20KA/4P,T2,in20KA（8/20us）",17,只,54,1,雷曼
157,浪涌保护器,"LMRD-D20KA/4P,T2,in20KA（8/20us）通讯接口",27,只,384,1,雷曼
158,浪涌保护器,"LMRD-I12.5/4P,T1,Iimp12.5KA（10/350us）",22,只,222,1,雷曼
159,浪涌保护器,"LMRD-I12.5/4P,T1,Iimp12.5KA（10/350us）通讯接口",1,只,498,1,雷曼
160,电度表 单相,SPM91 10（40）A,12,只,176,1,派诺
161,电流表,PMAC615-I,10,只,237,1,派诺
162,多功能表,PMAC770E,136,只,803,1,派诺
163,电流互感器,BH-0.66 100/5,6,只,39,0.6,浙江鸿坤
164,电流互感器,BH-0.66 100/5A,57,只,39,0.6,浙江鸿坤
165,电流互感器,BH-0.66 20/5A,12,只,39,0.6,浙江鸿坤
166,电流互感器,BH-0.66 200/5A,30,只,17,0.6,浙江鸿坤
167,电流互感器,BH-0.66 25/5A,39,只,39,0.6,浙江鸿坤
168,电流互感器,BH-0.66 250/5,18,只,17,0.6,浙江鸿坤
169,电流互感器,BH-0.66 250/5A,15,只,17,0.6,浙江鸿坤
170,电流互感器,BH-0.66 40/5A,39,只,39,0.6,浙江鸿坤
171,电流互感器,BH-0.66 400/5A,15,只,21,0.6,浙江鸿坤
172,电流互感器,BH-0.66 50/5A,78,只,39,0.6,浙江鸿坤
173,电流互感器,BH-0.66 600/5A,3,只,25,0.6,浙江鸿坤
174,电流互感器,BH-0.66 75/5A,120,只,39,0.6,浙江鸿坤
175,电流互感器,BH-0.66 800/5A,6,只,29,0.6,浙江鸿坤
176,数字智能消防巡检设备,TH-F-IV-45/4,1,只,17103,1,宣威电气
177,消防机械应急启动装置,(空白),8,只,1500,1,宣威电气
178,消防应急灯具专用应急电源,15kVA-380V 180分钟,1,只,40150,1,宣威电气
179,消防应急灯具专用应急电源,30kVA-380V 180分钟,1,只,72248,1,宣威电气
180,应急电源,WX-D--0.5kVA-01 AC220V输入 转DC36V输出 灯具持续供电时间大于60分钟 EPS初装容量大于180分钟 IP33,25,只,2400,1,宣威电气
181,应急电源,WX-D--0.5kVA-01 AC220V输入 转DC36V输出 灯具持续供电时间大于60分钟 EPS初装容量大于180分钟 IP65,7,只,2850,1,宣威电气
182,应急照明主机及电池,(空白),2,只,4500,1,宣威电气
183,智能照明,HQIR-0416 AC220V,2,只,234,1,浙江皓骐
184,智能照明,HQIR-0816 AC220V,3,只,358,1,浙江皓骐
,,,,,,,
取费方式,,,,,,,
序号,费用名称,取费基数,,费率,备注,,
1,辅材费,元器件小计,,0.08,,,
2,人工费,元器件小计+辅材费,,0.08,,,
3,管理费及利润,元器件小计+辅材费,,0.075,,,
4,税金,元器件小计+辅材费,,0.025,,,
